voltage applied,current (nA),current err
-9,276.203333,3.576
-8.5,271.663333,1.301
-8,274.14,0.38
-7.5,270.723333,0.526
-7,285.336667,0.807
-6.5,278.45,0.236
-6,270.99,0.334
-5.5,264.236667,1.042
-5,250.236667,0.914
-4.5,239.626667,0.736
-4,226.77,0.762
-3.5,209.286667,0.681
-3,189.728,0.673815
-2.5,169.7453333,0.436436
-2,146.6276667,0.105765
-1.5,119.3023333,0.846528
-1,85.34533333,0.224369
-0.5,48.10833333,0.265549
0,18.37253333,0.036162
0.5,2.093933333,0.004549
1,0.106266667,0.000493
1.5,0.114133333,0.000306
2,0.1178,0.000529
2.5,0.119766667,0.000569
3,0.122066667,0.000416
3.5,0.124266667,0.000603
4,0.125366667,0.000306
4.5,0.127166667,0.000321
5,0.128233333,0.000551
5.5,0.129666667,0.000115
6,0.129733333,0.000643
7,0.130533333,0.000153
8,0.131333333,0.000321
9,0.132366667,0.000513
