-9,3.5870000,0.0112377
-8.75,3.5476733,0.0150313
-8.5,3.4699333,0.0153962
-8.25,3.5571000,0.0057591
-8,3.4598667,0.0028825
-7.75,3.5430000,0.0271538
-7.5,3.4846667,0.0465314
-7.25,3.4362667,0.0432733
-7,3.7768667,0.5114279
-6.75,3.3744000,0.0298430
-6.5,3.3887667,0.0266496
-6.25,3.4178000,0.0059031
-6,2.9831667,0.4764331
-5.75,3.6083667,0.1951523
-5.5,3.6534333,0.0079273
-5.25,3.6092000,0.0036368
-5,3.4929667,0.0239778
-4.75,3.4248333,0.0807942
-4.5,2.8798333,0.4667447
-4.25,3.1495333,0.0156828
-4,3.0813667,0.0168310
-3.75,3.3371000,0.4649594
-3.5,2.8742000,0.0292469
-3.25,2.7636333,0.0321924
-3,2.6696000,0.0065335
-2.75,2.5301667,0.0134026
-2.5,2.6682667,0.4691272
-2.25,2.1372000,0.0131349
-2,1.8203567,0.0091482
-1.75,1.4534667,0.0045829
-1.5,1.0685900,0.0058818
-1.25,0.7051433,0.0065785
-1,0.3897267,0.0071145
-0.75,0.1715100,0.0018691
-0.5,0.0519900,0.0003001
-0.25,0.0104467,0.0001605
0,0.0022100,0.0000216
0.25,0.0008733,0.0000205
0.5,0.0005200,0.0000082
0.75,0.0002400,0.0000082
1,0.0000433,0.0000205
1.25,-0.0000967,0.0000249
1.5,-0.0001767,0.0000340
1.75,-0.0002000,0.0000141
2,-0.0002167,0.0000205
2.25,-0.0002333,0.0000170
2.5,-0.0002533,0.0000262
2.75,-0.0002467,0.0000125
3,-0.0002300,0.0000216
3.5,-0.0002900,0.0000163
4,-0.0002833,0.0000125
4.5,-0.0002933,0.0000125
5,-0.0003167,0.0000170
5.5,-0.0003233,0.0000094
6,-0.0003267,0.0000125
6.5,-0.0003233,0.0000386
7,-0.0003467,0.0000125
7.5,-0.0003633,0.0000125
8,-0.0003300,0.0000141
8.5,-0.0003667,0.0000170
9,-0.0003567,0.0000125
